Date : 2025-03-20 17:30:29
Directory : c:\project\stepin-template-main\src\packages
Total : 367 files,  18955 codes, 2030 comments, 679 blanks, all 21664 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| formEditor\components\FormTypes\Number                                                                              |          8 |        223 |         24 |         22 |        269 |
| formEditor\components\FormTypes\Number (Files)                                                                      |          4 |         98 |          7 |         13 |        118 |
| formEditor\components\FormTypes\Number\Other                                                                        |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Other                                                                               |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Other copy                                                                          |          2 |         83 |         10 |          4 |         97 |
| formEditor\components\FormTypes\Radio                                                                               |          4 |        111 |          7 |         10 |        128 |
| formEditor\components\FormTypes\Rate                                                                                |          4 |         80 |          7 |         10 |         97 |
| formEditor\components\FormTypes\Region                                                                              |          4 |        143 |          7 |         11 |        161 |
| formEditor\components\FormTypes\Select                                                                              |          4 |        120 |         11 |         11 |        142 |
| formEditor\components\FormTypes\Sform                                                                               |          4 |         47 |          1 |          4 |         52 |
| formEditor\components\FormTypes\Signature                                                                           |          4 |        353 |         10 |         11 |        374 |
| formEditor\components\FormTypes\Slider                                                                              |          4 |         92 |          7 |         11 |        110 |
| formEditor\components\FormTypes\Stable                                                                              |          4 |         45 |          0 |          8 |         53 |
| formEditor\components\FormTypes\Switch                                                                              |          4 |         87 |          7 |         11 |        105 |
| formEditor\components\FormTypes\Textarea                                                                            |          4 |         78 |         27 |         11 |        116 |
| formEditor\components\FormTypes\Time                                                                                |          4 |        138 |          7 |         11 |        156 |
| formEditor\components\FormTypes\Uploadfile                                                                          |          4 |        198 |         13 |          9 |        220 |
| formEditor\components\Layout                                                                                        |          8 |      1,143 |         50 |         25 |      1,218 |
| formEditor\components\Panels                                                                                        |         20 |      3,555 |        176 |         24 |      3,755 |
| formEditor\components\Panels\Canves                                                                                 |          1 |         81 |          7 |          1 |         89 |
| formEditor\components\Panels\Config                                                                                 |         18 |      3,367 |        161 |         22 |      3,550 |
| formEditor\components\Panels\Config (Files)                                                                         |          2 |        341 |         22 |          4 |        367 |
| formEditor\components\Panels\Config\components                                                                      |         16 |      3,026 |        139 |         18 |      3,183 |
| formEditor\components\Panels\Fields                                                                                 |          1 |        107 |          8 |          1 |        116 |
| formEditor\components\Selection                                                                                     |          1 |        425 |         46 |          5 |        476 |
| formEditor\locale                                                                                                   |          3 |        586 |          1 |          3 |        590 |
| formEditor\style                                                                                                    |          1 |          3 |          1 |          1 |          5 |
| hooks                                                                                                               |          9 |      1,108 |        207 |         17 |      1,332 |
| hooks (Files)                                                                                                       |          1 |         20 |          1 |          0 |         21 |
| hooks\use-css                                                                                                       |          1 |        172 |          0 |          1 |        173 |
| hooks\use-fetch                                                                                                     |          1 |         30 |          2 |          1 |         33 |
| hooks\use-history                                                                                                   |          1 |         79 |          8 |          1 |         88 |
| hooks\use-i18n                                                                                                      |          1 |         16 |          9 |          2 |         27 |
| hooks\use-logic                                                                                                     |          1 |        333 |         17 |          1 |        351 |
| hooks\use-namespace                                                                                                 |          1 |         36 |          0 |          1 |         37 |
| hooks\use-props                                                                                                     |          1 |        385 |        170 |          5 |        560 |
| hooks\use-target                                                                                                    |          1 |         37 |          0 |          5 |         42 |
| icon                                                                                                                |        119 |        197 |         10 |          9 |        216 |
| icon (Files)                                                                                                        |          3 |         74 |         10 |          7 |         91 |
| icon\svg                                                                                                            |        116 |        123 |          0 |          2 |        125 |
| region                                                                                                              |          6 |        685 |         14 |         43 |        742 |
| region (Files)                                                                                                      |          5 |        683 |         13 |         42 |        738 |
| region\style                                                                                                        |          1 |          2 |          1 |          1 |          4 |
| theme                                                                                                               |         48 |      1,769 |        167 |         91 |      2,027 |
| theme (Files)                                                                                                       |          2 |         63 |          0 |          2 |         65 |
| theme\ckeditor                                                                                                      |          1 |         48 |          1 |          1 |         50 |
| theme\formEditor                                                                                                    |         43 |      1,552 |        163 |         86 |      1,801 |
| theme\formEditor (Files)                                                                                            |         30 |      1,364 |        160 |         72 |      1,596 |
| theme\formEditor\FormTypes                                                                                          |         13 |        188 |          3 |         14 |        205 |
| theme\region                                                                                                        |          2 |        106 |          3 |          2 |        111 |
| utils                                                                                                               |         12 |      1,682 |         44 |         14 |      1,740 |
| vueDraggable                                                                                                        |         10 |        694 |         11 |         78 |        783 |
| vueDraggable (Files)                                                                                                |          2 |        361 |         11 |         39 |        411 |
| vueDraggable\core                                                                                                   |          4 |        168 |          0 |         26 |        194 |
| vueDraggable\util                                                                                                   |          4 |        165 |          0 |         13 |        178 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                            | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\project\stepin-template-main\src\packages\base.ts                                                                | TypeScript     |         44 |          1 |          1 |         46 |
| c:\project\stepin-template-main\src\packages\ckeditor\__index.jsx                                                   | JavaScript JSX |        112 |         54 |         29 |        195 |
| c:\project\stepin-template-main\src\packages\ckeditor\index.jsx                                                     | JavaScript JSX |        219 |          9 |         10 |        238 |
| c:\project\stepin-template-main\src\packages\ckeditor\style\index.js                                                | JavaScript     |          2 |          0 |          1 |          3 |
| c:\project\stepin-template-main\src\packages\form.ts                                                                | TypeScript     |        270 |         11 |          4 |        285 |
| c:\project\stepin-template-main\src\packages\formCom.tsx                                                            | TypeScript JSX |         39 |          2 |          1 |         42 |
| c:\project\stepin-template-main\src\packages\formEditor\componentsConfig.ts                                         | TypeScript     |        549 |         35 |          1 |        585 |
| c:\project\stepin-template-main\src\packages\formEditor\components\CompleteButton.tsx                               | TypeScript JSX |         61 |          1 |          0 |         62 |
| c:\project\stepin-template-main\src\packages\formEditor\components\DeviceSwitch.vue                                 | Vue            |         26 |         10 |          3 |         39 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.tsx                    | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.vue                    | Vue            |         36 |          0 |          3 |         39 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\pc.tsx                        | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\pc.vue                        | Vue            |         21 |          0 |          3 |         24 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\mobile.tsx                    | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\mobile.vue                    | Vue            |         36 |          0 |          3 |         39 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\pc.tsx                        | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\pc.vue                        | Vue            |         21 |          0 |          3 |         24 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\Other\mobile.tsx              | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\Other\mobile.vue              | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\Other\pc.tsx                  | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\Other\pc.vue                  | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\mobile.tsx                    | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\mobile.vue                    | Vue            |         39 |          0 |          3 |         42 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\pc.tsx                        | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\pc.vue                        | Vue            |         26 |          0 |          3 |         29 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\Other\mobile.tsx                  | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\Other\mobile.vue                  | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\Other\pc.tsx                      | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\Other\pc.vue                      | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\mobile.vue                        | Vue            |        122 |          0 |          2 |        124 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\pc.tsx                            | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Date\pc.vue                            | Vue            |         21 |          0 |          3 |         24 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\Other\mobile.tsx               | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\Other\mobile.vue               | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\Other\pc.tsx                   | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\Other\pc.vue                   | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\mobile.tsx                     | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\mobile.vue                     | Vue            |         29 |          0 |          3 |         32 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\pc.tsx                         | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\pc.vue                         | Vue            |         20 |          0 |          3 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\mobile.tsx                  | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\mobile.vue                  | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\pc.tsx                      | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\pc.vue                      | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\mobile.vue                        | Vue            |         67 |          1 |          3 |         71 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\pc.tsx                            | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\pc.vue                            | Vue            |         24 |          4 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\mobile.tsx                       | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\mobile.vue                       | Vue            |         18 |          0 |          3 |         21 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\pc.tsx                           | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\pc.vue                           | Vue            |         22 |          0 |          3 |         25 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\mobile.tsx                | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\mobile.vue                | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\pc.tsx                    | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\pc.vue                    | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\mobile.vue                      | Vue            |         35 |          0 |          5 |         40 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\pc.vue                          | Vue            |         21 |          0 |          3 |         24 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other copy\mobile.vue                  | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other copy\pc.vue                      | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\mobile.tsx                       | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\mobile.vue                       | Vue            |         42 |         10 |          2 |         54 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\pc.tsx                           | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\pc.vue                           | Vue            |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\mobile.tsx                       | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\mobile.vue                       | Vue            |         39 |          0 |          3 |         42 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\pc.tsx                           | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\pc.vue                           | Vue            |         30 |          0 |          2 |         32 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\mobile.vue                        | Vue            |         19 |          0 |          2 |         21 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\pc.tsx                            | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\pc.vue                            | Vue            |         19 |          0 |          3 |         22 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\mobile.vue                      | Vue            |         79 |          0 |          3 |         82 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\pc.vue                          | Vue            |         22 |          0 |          3 |         25 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\mobile.vue                      | Vue            |         49 |          0 |          3 |         52 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\pc.vue                          | Vue            |         29 |          4 |          3 |         36 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\mobile.tsx                       | TypeScript JSX |         20 |          1 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\mobile.vue                       | Vue            |          3 |          0 |          0 |          3 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\pc.tsx                           | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\pc.vue                           | Vue            |          3 |          0 |          0 |          3 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\mobile.tsx                   | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\mobile.vue                   | Vue            |        158 |          3 |          3 |        164 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\pc.tsx                       | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\pc.vue                       | Vue            |        153 |          0 |          3 |        156 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\mobile.vue                      | Vue            |         31 |          0 |          3 |         34 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\pc.vue                          | Vue            |         19 |          0 |          3 |         22 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\mobile.tsx                      | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\mobile.vue                      | Vue            |         26 |          0 |          3 |         29 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\pc.tsx                          | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\pc.vue                          | Vue            |         19 |          0 |          3 |         22 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\mobile.vue                      | Vue            |         26 |          0 |          3 |         29 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\pc.vue                          | Vue            |         19 |          0 |          3 |         22 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\mobile.tsx                    | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\mobile.vue                    | Vue            |         18 |         10 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\pc.tsx                        | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\pc.vue                        | Vue            |         18 |         10 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\mobile.vue                        | Vue            |         74 |          0 |          3 |         77 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\pc.tsx                            | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\pc.vue                            | Vue            |         22 |          0 |          3 |         25 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.tsx                  | TypeScript JSX |         21 |          7 |          3 |         31 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.vue                  | Vue            |         67 |          2 |          1 |         70 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\pc.tsx                      | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\pc.vue                      | Vue            |         89 |          4 |          3 |         96 |
| c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\index.js                               | JavaScript     |         10 |          0 |          1 |         11 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Icon.vue                                         | Vue            |         30 |          3 |          3 |         36 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\CollapseLayout.tsx                        | TypeScript JSX |         46 |          0 |          1 |         47 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\ControlInsertionPlugin.ts                 | TypeScript     |        453 |         32 |         16 |        501 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\DragGable.tsx                             | TypeScript JSX |        220 |          7 |          2 |        229 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\GridLayout.tsx                            | TypeScript JSX |         77 |          7 |          1 |         85 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\InlineLayout.tsx                          | TypeScript JSX |         42 |          0 |          2 |         44 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\SubformLayout.tsx                         | TypeScript JSX |        168 |          3 |          1 |        172 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\TableLayout.tsx                           | TypeScript JSX |         89 |          0 |          1 |         90 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Layout\TabsLayout.tsx                            | TypeScript JSX |         48 |          1 |          1 |         50 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Canves\index.tsx                          | TypeScript JSX |         81 |          7 |          1 |         89 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\AllsidesComponent.vue   | Vue            |         80 |          1 |          1 |         82 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\BackgroundComponent.vue | Vue            |        286 |         10 |          2 |        298 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\BorderComponent.vue     | Vue            |        131 |         32 |          1 |        164 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\CheckboxComponent.vue   | Vue            |         35 |          4 |          1 |         40 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\CollapseComponent.vue   | Vue            |         45 |          0 |          1 |         46 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\DataComponent1.jsx      | JavaScript JSX |        212 |          2 |          1 |        215 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\DataComponent2.jsx      | JavaScript JSX |        184 |         15 |          1 |        200 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\DataComponent3.vue      | Vue            |         91 |          0 |          1 |         92 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\GlobalConfigPanel.vue   | Vue            |        218 |          0 |          1 |        219 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\LimitComponent.vue      | Vue            |         46 |          9 |          1 |         56 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\LogicComponent.vue      | Vue            |        284 |         15 |          2 |        301 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\PropsPanel copy.tsx     | TypeScript JSX |         23 |          0 |          0 |         23 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\PropsPanel.vue          | Vue            |        793 |         16 |          2 |        811 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\SubformDefaultValue.vue | Vue            |        118 |          3 |          1 |        122 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\TypeComponent.vue       | Vue            |         86 |          0 |          1 |         87 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\generateFilterdata.js   | JavaScript     |        394 |         32 |          1 |        427 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\configPanel.tsx                    | TypeScript JSX |        174 |          4 |          2 |        180 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\index.vue                          | Vue            |        167 |         18 |          2 |        187 |
